Şirket;Tarih;Fatura no;Fatura içeriği;Gider sınıfı;Firma;Adet;Brim Fiyat;KDV Tutarı;OIV Tutarı;Ödenecek Tutar;Kur;Birim Fiyat Dolar;KDV Dolar
Bekkiler;30.09.2023;XJ52023093002912;HER YÖNE 1000 DAKİKA - 24,90 TL/AY-2662462755 (EYLÜL 2023);SABIT HAT;TURKNET;1,00;19,15;3,83;1,92;24,90;0,00;0,00;0,00
Bekkiler;30.09.2023;XJ52023093002912;HER YÖNE 1000 DAKİKA - 24,90 TL/AY-2662461426 (EYLÜL 2023);SABIT HAT;TURKNET;1,00;19,15;3,83;1,92;24,90;0,00;0,00;0,00
Bekkiler;30.09.2023;XJ52023093002912;İŞ MAX 35 - TAAHHÜTSÜZ - 2662465109 (EKİM 2023);SABIT HAT;TURKNET;1,00;192,23;38,45;19,22;249,90;0,00;0,00;0,00
Bekkiler;30.09.2023;XJ52023093002912;HER YÖNE 1000 DAKİKA - 24,90 TL/AY-2662465108 (EYLÜL 2023)(GSM:20% SA:13% SI:59% DO:8% );SABIT HAT;TURKNET;1,00;19,15;3,83;1,92;24,90;0,00;0,00;0,00
Bekkiler;30.09.2023;XJ52023093002912;HER YÖNE 1000 DAKİKA - 24,90 TL/AY-2662462751 (EYLÜL 2023)(GSM:16% SA:13% SI:67% DO:4% );SABIT HAT;TURKNET;1,00;19,15;3,83;1,92;24,90;0,00;0,00;0,00
Bekkiler;30.09.2023;XJ52023093002912;HER YÖNE 1000 DAKİKA - 24,90 TL/AY-2662460409 (EYLÜL 2023)(GSM:14% SA:14% SI:53% TN:2% DO:17% );SABIT HAT;TURKNET;1,00;19,15;3,83;1,92;24,90;0,00;0,00;0,00
Beksan;30.09.2023;C012023001872011;TELEFON;SABIT HAT;TURKTELEKOM;1,00;340,23;68,05;34,02;442,30;0,00;0,00;0,00
Beksan;30.09.2023;C012023001872011;TEMLİKLİ_SAMSUNG GALAXY A13 İKİ BİZDEN_24 AY TAKSİT ÜCRETİ (16/24);SABIT HAT;TURKTELEKOM;1,00;283,00;0,00;0,00;283,00;0,00;0,00;0,00
Beksan;02.10.2023;BTE2023000002956;POWER BI PREMİUM PER USER;YAZILIM LİSANS G.;BTE BİLGİSAYAR YAZ. DON.;1,00;5754,36;1150,87;0,00;6905,23;27,47;209,50;41,90
Beksan;02.10.2023;BTE2023000002956;MİCROSOFT 365 BUSİNESS PREMİUM-NCE-A;YAZILIM LİSANS G.;BTE BİLGİSAYAR YAZ. DON.;5,00;2,75;2,75;0,00;16,48;27,47;0,10;0,10
Beksan;02.10.2023;BTE2023000002979;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;1200,00;240,00;0,00;1440,00;0,00;0,00;0,00
Bekkiler;02.10.2023;BTE2023000002986;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;1200,00;240,00;0,00;1440,00;0,00;0,00;0,00
Bekkiler;02.10.2023;RAART000000000009;İLAN, REKLAM VE TANITIM;GÖRSEL TANITIM G.;RAART GÖRSEL SAN. REK.;1,00;35312,00;7062,40;0,00;42374,40;0,00;0,00;0,00
Beksan;04.10.2023;BNF2023000000612;NETSİS 3 ENTERPİSE LEM PAKETİ (STANDART);NETSİS YAZILIM G.;BTENET YAZILIM VE PROJE HİZ.;1,00;117000,00;23400,00;0,00;140400,00;0,00;0,00;0,00
Beksan;04.10.2023;ANE2023000002384;CLASS DISPLAYPORT-HDMI ÇEVİRİCİ;DONANIM G.;ANTENCİ ELEKTRONİK ;1,00;91,67;18,33;0,00;110,00;0,00;0,00;0,00
Beksan;04.10.2023;ANE2023000002384;MAGICVOICE 1+1 USB MİNİ HOPARLÖR;DONANIM G.;ANTENCİ ELEKTRONİK ;1,00;125,00;25,00;0,00;150,00;0,00;0,00;0,00
Bekkiler;04.10.2023;BNF2023000000610;NETSİS 3 ENTERPİSE LEM PAKETİ (STANDART);NETSİS YAZILIM G.;BTENET YAZILIM VE PROJE HİZ.;1,00;87500,00;17500,00;0,00;105000,00;0,00;0,00;0,00
Bekkiler;04.10.2023;BNF2023000000611;NETSİS 3 ENTERPRISE KULLANICI ARTIRIMI +5 (L);NETSİS YAZILIM G.;BTENET YAZILIM VE PROJE HİZ.;1,00;184712,00;36942,40;0,00;221654,40;0,00;0,00;0,00
Beksan;06.10.2023;BTM2023000001332;KLAVYE LOGITECH MK235;DONANIM G.;BTM TEKNOLOJİ ;1,00;549,17;109,83;0,00;659,00;0,00;0,00;0,00
Bekkiler;13.10.2023;BTE2023000003118;"LENOVO V15 G3 İ5-1235U 16GB 512GB 15.6"" W10P";DONANIM G.;BTE BİLGİSAYAR YAZ. DON.;2,00;17513,50;7005,40;0,00;42032,39;27,80;630,00;252,00
Bekkiler;13.10.2023;RAART000000000010;İLAN, REKLAM VE TANITIM;GÖRSEL TANITIM G.;RAART GÖRSEL SAN. REK.;1,00;20000,00;4000,00;0,00;24000,00;0,00;0,00;0,00
Beksan;18.10.2023;BNF2023000000621;PROJE VE DANIŞMANLIK HİZMETİ;EFLOW DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;4,38;5250,00;4599,00;0,00;27594,00;0,00;0,00;0,00
Bekkiler;18.10.2023;BNF2023000000637;PROJE VE DANIŞMANLIK HİZMETİ;EFLOW DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;2,40;4000,00;1920,00;0,00;11520,00;0,00;0,00;0,00
Beksan;20.10.2023;ANE2023000002569;CLASS HDMI-VGA ÇEVİRİCİ;DONANIM G.;ANTENCİ ELEKTRONİK ;2,00;73,06;29,23;0,00;175,35;0,00;0,00;0,00
Beksan;20.10.2023;ANE2023000002569;TELEFON KONNEKTÖRÜ YAK 1 200LÜ PAKET;DONANIM G.;ANTENCİ ELEKTRONİK ;1,00;87,21;17,44;0,00;104,65;0,00;0,00;0,00
Bekkiler;23.10.2023;RAART000000000011;İLAN, REKLAM VE TANITIM;GÖRSEL TANITIM G.;RAART GÖRSEL SAN. REK.;1,00;72750,00;14550,00;0,00;87300,00;0,00;0,00;0,00
Beksan;30.10.2023;BNF2023000000746;AYLIK TELEFON DESTEK HİZMETİ;NETSİS DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;1,00;5000,00;1000,00;0,00;6000,00;0,00;0,00;0,00
Bekkiler;30.10.2023;BNF2023000000726;AYLIK TELEFON DESTEK HİZMETİ;NETSİS DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;1,00;4250,00;850,00;0,00;5100,00;0,00;0,00;0,00
Bekkiler;30.10.2023;RAART000000000012;İLAN, REKLAM VE TANITIM;GÖRSEL TANITIM G.;RAART GÖRSEL SAN. REK.;1,00;12679,00;2535,80;0,00;15214,80;0,00;0,00;0,00
Beksan;31.10.2023;A162023055232961;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;337,88;67,58;33,79;439,25;0,00;0,00;0,00
Bekkiler;31.08.2023;01S2023000903333;ENTERPRİSE WİFİ SERVİSİ (AP) (%20 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;300,00;60,00;0,00;360,00;0,00;0,00;0,00
Bekkiler;30.09.2023;01S2023001015908;ENTERPRİSE WİFİ SERVİSİ (AP) (%20 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;300,00;60,00;0,00;360,00;0,00;0,00;0,00
Bekkiler;31.10.2023;01S2023001269785;ENTERPRİSE WİFİ SERVİSİ (AP) (%20 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;300,00;60,00;0,00;360,00;0,00;0,00;0,00
Bekkiler;30.11.2023;01S2023001313674;ENTERPRİSE WİFİ SERVİSİ (AP) (%20 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;300,00;60,00;0,00;360,00;0,00;0,00;0,00
Bekkiler;31.12.2023;01S2023001518982;ENTERPRİSE WİFİ SERVİSİ (AP) (%20 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;300,00;60,00;0,00;360,00;0,00;0,00;0,00
Bekkiler;31.01.2024;01S2024000008831;ENTERPRİSE WİFİ SERVİSİ (AP) (%20 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;300,00;60,00;0,00;360,00;0,00;0,00;0,00
Bekkiler;29.02.2024;01S2024000272262;ENTERPRİSE WİFİ SERVİSİ (AP) (%20 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;300,00;60,00;0,00;360,00;0,00;0,00;0,00
Bekkiler;31.03.2024;01S2024000384936;ENTERPRİSE WİFİ SERVİSİ (AP) (%20 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;300,00;60,00;0,00;360,00;0,00;0,00;0,00
